__typename,score,place,birthDate,countryPosition,calculationId,competitorIaafId,urlSlug,iaafId,qualificationPosition,results,wind,date,name,qualifiedBy,countryCode,venue,qualified,result,label
ChampionshipQualificationCompetitorQualification,,,11 JUL 2000,12,,,united-states/mckenzie-long-14723890,340967,,,+1.2,17 MAY 2025,Mckenzie LONG,Qualified by Entry Standard,USA,"Piedmont Park, Atlanta, GA (USA)",False,10.98,
ChampionshipQualificationCompetitorQualification,,,23 JAN 2003,5,,,jamaica/shenese-walker-14777658,363851,,,+1.4,31 MAY 2025,Shenese WALKER,Qualified by Entry Standard,JAM,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",False,10.98,
ChampionshipQualificationCompetitorQualification,,,26 JUL 1997,1,,,poland/ewa-swoboda-14451085,268463,22,,+1.0,02 AUG 2024,Ewa SWOBODA,Qualified by Entry Standard,POL,"Stade de France, Paris (FRA)",True,10.99,
ChampionshipQualificationCompetitorQualification,,,17 JUN 1992,1,,,switzerland/mujinga-kambundji-14300897,248630,23,,-0.1,03 AUG 2024,Mujinga KAMBUNDJI,Qualified by Entry Standard,SUI,"Stade de France, Paris (FRA)",True,10.99,
ChampionshipQualificationCompetitorQualification,,,30 MAR 2001,13,,,united-states/semira-killebrew-014674844,316680,,,+1.2,22 JUN 2025,Semira KILLEBREW,Qualified by Entry Standard,USA,"Alumni Stadium, London (CAN)",False,10.99,
ChampionshipQualificationCompetitorQualification,,,30 JUN 2004,14,,,united-states/kaila-jackson-14906985,503311,,,+1.7,29 MAY 2025,Kaila JACKSON,Qualified by Entry Standard,USA,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",False,11.00,
ChampionshipQualificationCompetitorQualification,,,03 MAY 1995,1,,,the-gambia/gina-mariam-bass-bittaye-14479741,264113,24,,-0.2,02 AUG 2024,Gina Mariam BASS BITTAYE,Qualified by Entry Standard,GAM,"Stade de France, Paris (FRA)",True,11.01,African Champion
ChampionshipQualificationCompetitorQualification,,,02 DEC 1998,15,,,united-states/celera-barnes-14533574,299337,,,+1.2,17 MAY 2025,Celera BARNES,Qualified by Entry Standard,USA,"Piedmont Park, Atlanta, GA (USA)",False,11.01,
ChampionshipQualificationCompetitorQualification,,,12 APR 2002,1,,,antigua-barbuda/joella-lloyd-14746897,309547,25,,+1.6,31 MAY 2025,Joella LLOYD,Qualified by Entry Standard,ANT,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",True,11.01,
ChampionshipQualificationCompetitorQualification,,,03 JAN 2006,16,,,united-states/brianna-selby-14913814,503182,,,+1.6,12 JUN 2025,Brianna SELBY,Qualified by Entry Standard,USA,"Hayward Field, Eugene, OR (USA)",False,11.01,
ChampionshipQualificationCompetitorQualification,,,07 DEC 1996,17,,,united-states/gabrielle-thomas-14733520,307258,,,+1.0,25 APR 2025,Gabrielle THOMAS,Qualified by Entry Standard,USA,"Mike A. Myers Stadium, Austin, TX (USA)",False,11.02,
ChampionshipQualificationCompetitorQualification,,,22 SEP 2006,18,,,united-states/dana-wilson-14970212,,,,+1.2,03 MAY 2025,Dana WILSON,Qualified by Entry Standard,USA,"Marcus T. Johnson Track, Greensboro, NC (USA)",False,11.02,
ChampionshipQualificationCompetitorQualification,,,2002,19,,,united-states/jasmine-montgomery-014781666,346113,,,+0.2,31 MAY 2025,Jasmine MONTGOMERY,Qualified by Entry Standard,USA,"Cushing Stadium, College Station, TX (USA)",False,11.02,
ChampionshipQualificationCompetitorQualification,,,20 JAN 2005,6,,,jamaica/alana-reid-14824260,346845,,,+1.5,27 JUN 2025,Alana REID,Qualified by Entry Standard,JAM,"National Stadium, Kingston (JAM)",False,11.02,
ChampionshipQualificationCompetitorQualification,,,11 NOV 1993,7,,,jamaica/jodean-williams-14435095,274388,,,+0.1,27 JUN 2025,Jodean WILLIAMS,Qualified by Entry Standard,JAM,"National Stadium, Kingston (JAM)",False,11.02,
ChampionshipQualificationCompetitorQualification,,,15 MAY 2002,3,,,great-britain-ni/amy-hunt-14685108,314633,26,,+2.0,16 MAY 2025,Amy HUNT,Qualified by Entry Standard,GBR,"Suhaim bin Hamad Stadium, Doha (QAT)",True,11.03,
ChampionshipQualificationCompetitorQualification,,,2005,20,,,united-states/india-mayberry-14993485,,,,+1.8,17 MAY 2025,India MAYBERRY,Qualified by Entry Standard,USA,"Rock Chalk Park, Lawrence, KS (USA)",False,11.03,
ChampionshipQualificationCompetitorQualification,,,05 DEC 2001,3,,,nigeria/rosemary-chukwuma-14800571,320927,27,,+0.8,14 JUN 2025,Rosemary CHUKWUMA,Qualified by Entry Standard,NGR,"Horizon HS, Winter Garden, FL (USA)",True,11.03,
ChampionshipQualificationCompetitorQualification,,,30 JAN 1996,8,,,jamaica/jonielle-smith-14413641,262915,,,+1.5,27 JUN 2025,Jonielle SMITH,Qualified by Entry Standard,JAM,"National Stadium, Kingston (JAM)",False,11.03,
ChampionshipQualificationCompetitorQualification,,,04 NOV 2003,21,,,united-states/jassani-carter-14808086,431208,,,+1.3,29 MAY 2025,Jassani CARTER,Qualified by Entry Standard,USA,"Cushing Stadium, College Station, TX (USA)",False,11.04,
ChampionshipQualificationCompetitorQualification,,,14 AUG 2001,22,,,united-states/jacious-sears-14757192,319375,,,+1.8,07 JUN 2025,Jacious SEARS,Qualified by Entry Standard,USA,"National Stadium, Kingston (JAM)",False,11.04,
ChampionshipQualificationCompetitorQualification,,,21 MAR 2002,9,,,jamaica/briana-williams-14790666,303151,,,+0.3,13 JUN 2025,Briana WILLIAMS,Qualified by Entry Standard,JAM,"Notre Dame HS, Sherman Oaks, CA (USA)",False,11.04,
ChampionshipQualificationCompetitorQualification,,,22 APR 1992,23,,,united-states/english-gardner-014310719,228445,,,+1.2,14 JUN 2025,English GARDNER,Qualified by Entry Standard,USA,"Horizon HS, Winter Garden, FL (USA)",False,11.04,
ChampionshipQualificationCompetitorQualification,,,18 APR 1995,24,,,united-states/brittany-brown-14437218,282220,,,+0.1,26 SEP 2024,Brittany BROWN,Qualified by Entry Standard,USA,"Icahn Stadium, New York, NY (USA)",False,11.05,
ChampionshipQualificationCompetitorQualification,,,12 NOV 1999,1,,,luxembourg/patrizia-van-der-weken-14621598,301280,28,,+2.0,16 MAY 2025,Patrizia VAN DER WEKEN,Qualified by Entry Standard,LUX,"Suhaim bin Hamad Stadium, Doha (QAT)",True,11.05,
ChampionshipQualificationCompetitorQualification,,,07 SEP 2005,25,,,united-states/cynteria-james-14806745,441412,,,+1.8,29 MAY 2025,Cynteria JAMES,Qualified by Entry Standard,USA,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",False,11.05,
ChampionshipQualificationCompetitorQualification,,,19 JUN 2004,26,,,united-states/camryn-dickson-14808020,431421,,,+1.9,29 MAY 2025,Camryn DICKSON,Qualified by Entry Standard,USA,"Cushing Stadium, College Station, TX (USA)",False,11.06,
ChampionshipQualificationCompetitorQualification,,,28 AUG 2001,1,,,hungary/boglarka-takacs-14706915,319923,29,,0.0,27 JUN 2025,Boglárka TAKÁCS,Qualified by Entry Standard,HUN,"Estadio Vallehermoso, Madrid (ESP)",True,11.06,
ChampionshipQualificationCompetitorQualification,,,02 MAY 2005,27,,,united-states/jade-brown-15133176,,,,0.0,31 MAY 2025,Jade BROWN,Qualified by Entry Standard,USA,"Cushing Stadium, College Station, TX (USA)",False,11.07,
ChampionshipQualificationCompetitorQualification,,,14 SEP 1996,28,,,united-states/kayla-white-14642681,311073,,,+1.9,28 JUN 2025,Kayla WHITE,Qualified by Entry Standard,USA,"Southwestern University Track Stadium, Georgetown, TX (USA)",False,11.07,
ChampionshipQualificationCompetitorQualification,1312,13,12 SEP 1999,1,112482559,,italy/zaynab-dosso-14622202,296072,30,,,,Zaynab DOSSO,In World Rankings quota*,ITA,,True,,
ChampionshipQualificationCompetitorQualification,1259,24,17 OCT 2001,1,112482570,,france/gemima-joseph-14738969,320356,31,,,,Gémima JOSEPH,In World Rankings quota*,FRA,,True,,
ChampionshipQualificationCompetitorQualification,1256,25,26 JUL 1996,2,112482571,,liberia/destiny-smith-barnett-14475801,290632,32,,,,Destiny SMITH-BARNETT,In World Rankings quota*,LBR,,True,,
ChampionshipQualificationCompetitorQualification,1251,26,25 APR 2000,1,112482572,,belgium/rani-rosius-14738788,368572,33,,,,Rani ROSIUS,In World Rankings quota*,BEL,,True,,
ChampionshipQualificationCompetitorQualification,1250,28,20 NOV 1992,29,112482574,,united-states/jenna-prandini-14329068,243250,,,,,Jenna PRANDINI,In World Rankings quota*,USA,,False,,
ChampionshipQualificationCompetitorQualification,1247,29,07 APR 1997,1,112482575,,pr-of-china/xiaojing-liang-14583567,281097,34,,,,Xiaojing LIANG,In World Rankings quota*,CHN,,True,,Asian Champion
ChampionshipQualificationCompetitorQualification,1235,33,04 MAY 1983,1,112482579,,portugal/lorene-dorcas-bazolo-14375638,242106,35,,,,Lorène Dorcas BAZOLO,In World Rankings quota*,POR,,True,,
ChampionshipQualificationCompetitorQualification,1232,34,08 JAN 2005,1,112482580,,australia/torrie-lewis-14778459,441179,36,,,,Torrie LEWIS,In World Rankings quota*,AUS,,True,,
ChampionshipQualificationCompetitorQualification,1231,35,21 SEP 2001,2,112482581,,belgium/delphine-nkansa-14779993,343089,37,,,,Delphine NKANSA,In World Rankings quota*,BEL,,True,,
ChampionshipQualificationCompetitorQualification,1229,36,16 MAY 1997,2,112482582,,cote-divoire/maboundou-kone-14636900,293326,38,,,,Maboundou KONÉ,In World Rankings quota*,CIV,,True,,
ChampionshipQualificationCompetitorQualification,1225,37,10 MAY 1996,10,112482583,,jamaica/shashalee-forbes-14574709,271437,,,,,Shashalee FORBES,In World Rankings quota*,JAM,,False,,
ChampionshipQualificationCompetitorQualification,1221,39,24 JUN 1995,2,112482585,,australia/bree-rizzo-14924344,516281,39,,,,Bree RIZZO,In World Rankings quota*,AUS,,True,,
ChampionshipQualificationCompetitorQualification,1217,42,26 NOV 2003,1,112482588,,czechia/karolina-manasova-14857218,438252,40,,,,Karolína MAŇASOVÁ,In World Rankings quota*,CZE,,True,,
ChampionshipQualificationCompetitorQualification,1217,43,17 NOV 1992,11,112482589,,jamaica/natasha-morrison-14285826,253062,,,,,Natasha MORRISON,In World Rankings quota*,JAM,,False,,
ChampionshipQualificationCompetitorQualification,1212,49,19 MAY 1998,1,112482595,,brazil/ana-carolina-azevedo-14579558,295519,41,,,,Ana Carolina AZEVEDO,In World Rankings quota*,BRA,,True,,
ChampionshipQualificationCompetitorQualification,1204,53,11 JUL 2000,1,112482599,,sweden/julia-henriksson-14654845,330533,42,,,,Julia HENRIKSSON,In World Rankings quota*,SWE,,True,,
ChampionshipQualificationCompetitorQualification,1204,54,23 FEB 1996,1,112482600,,chile/maria-ignacia-montt-14547431,277487,43,,,,María Ignacia MONTT,In World Rankings quota*,CHI,,True,,
ChampionshipQualificationCompetitorQualification,1200,57,18 DEC 1993,4,112482603,,great-britain-ni/bianca-williams-14401125,259015,,,,,Bianca WILLIAMS,In World Rankings quota*,GBR,,False,,
ChampionshipQualificationCompetitorQualification,1199,58,12 JAN 1996,2,112482604,,brazil/vitoria-cristina-rosa-14481687,284136,44,,,,Vitoria Cristina ROSA,In World Rankings quota*,BRA,,True,,South American Champion
ChampionshipQualificationCompetitorQualification,1199,59,26 MAR 2003,1,112482605,,puerto-rico/gladymar-torres-14887556,471553,45,,,,Gladymar TORRES,In World Rankings quota*,PUR,,True,,
ChampionshipQualificationCompetitorQualification,1198,61,22 JUN 2002,1,112482607,,cameroon/herverge-etame-kole-14974735,,46,,,,Herverge Etame KOLE,In World Rankings quota*,CMR,,True,,
ChampionshipQualificationCompetitorQualification,1198,62,02 MAY 1996,2,112482608,,germany/lisa-mayer-14448966,282923,47,,,,Lisa MAYER,In World Rankings quota*,GER,,True,,
ChampionshipQualificationCompetitorQualification,1195,64,13 JUL 2000,3,112482610,,australia/ella-connolly-14517121,297255,48,,,,Ella CONNOLLY,In World Rankings quota*,AUS,,True,,Oceanian Champion
ChampionshipQualificationCompetitorQualification,1195,65,02 SEP 2002,1,112482611,,netherlands/minke-bisschops-14773921,320054,,,,,Minke BISSCHOPS,Next best by World Rankings,NED,,False,,
ChampionshipQualificationCompetitorQualification,1194,66,08 APR 2002,1,112482612,,slovak-republic/viktoria-forster-14786982,323802,,,,,Viktória FORSTER,Next best by World Rankings,SVK,,False,,
ChampionshipQualificationCompetitorQualification,1193,68,06 SEP 2004,1,112482614,,colombia/marlet-ospino-14979537,534675,,,,,Marlet OSPINO,Next best by World Rankings,COL,,False,,
ChampionshipQualificationCompetitorQualification,1193,69,02 JAN 1993,3,112482615,,germany/rebekka-haase-14360165,257660,,,,,Rebekka HAASE,Next best by World Rankings,GER,,False,,
ChampionshipQualificationCompetitorQualification,1191,71,19 JUN 1997,2,112482617,,switzerland/geraldine-frey-14510629,301966,,,,,Géraldine FREY,Next best by World Rankings,SUI,,False,,
ChampionshipQualificationCompetitorQualification,1191,72,01 MAR 1993,1,112482618,,spain/maria-isabel-perez-14260762,274709,,,,,Maria Isabel PÉREZ,Next best by World Rankings,ESP,,False,,
ChampionshipQualificationCompetitorQualification,1190,74,10 APR 1995,4,112482620,,germany/sina-mayer-14401271,293117,,,,,Sina MAYER,Next best by World Rankings,GER,,False,,
ChampionshipQualificationCompetitorQualification,1189,76,30 JUN 2003,1,112482622,,greece/polyniki-emmanouilidou-14838227,394735,,,,,Polyniki EMMANOUILIDOU,Next best by World Rankings,GRE,,False,,
ChampionshipQualificationCompetitorQualification,1183,80,08 JUN 1994,3,112482626,,switzerland/salome-kora-14509523,298551,,,,,Salomé KORA,Next best by World Rankings,SUI,,False,,
ChampionshipQualificationCompetitorQualification,1182,81,11 FEB 1999,30,112482627,,united-states/candace-hill-14596374,285407,,,,,Candace HILL,Next best by World Rankings,USA,,False,,
ChampionshipQualificationCompetitorQualification,1181,84,02 APR 2002,31,112482630,,united-states/jadyn-mays-14761324,391858,,,,,Jadyn MAYS,Next best by World Rankings,USA,,False,,
ChampionshipQualificationCompetitorQualification,1180,85,14 JUL 1996,32,112482631,,united-states/mikiah-brisco-14465133,273220,,,,,Mikiah BRISCO,Next best by World Rankings,USA,,False,,
ChampionshipQualificationCompetitorQualification,1179,86,20 SEP 1996,1,112482632,,singapore/veronica-shanti-pereira-14472153,278797,,,,,Veronica Shanti PEREIRA,Next best by World Rankings,SGP,,False,,
ChampionshipQualificationCompetitorQualification,1179,87,28 APR 1994,5,112482633,,germany/alexandra-burghardt-14390368,258359,,,,,Alexandra BURGHARDT,Next best by World Rankings,GER,,False,,
ChampionshipQualificationCompetitorQualification,1174,89,27 OCT 1993,1,112482635,,botswana/tsaone-bakani-sebele-14541122,316531,,,,,Tsaone Bakani SEBELE,Next best by World Rankings,BOT,,False,,
ChampionshipQualificationCompetitorQualification,1174,90,23 FEB 2000,12,112482636,,jamaica/kemba-nelson-14576790,298023,,,,,Kemba NELSON,Next best by World Rankings,JAM,,False,,
ChampionshipQualificationCompetitorQualification,1174,91,26 APR 2001,33,112482637,,united-states/lex-brown-14747974,315463,,,,,Lex BROWN,Next best by World Rankings,USA,,False,,
ChampionshipQualificationCompetitorQualification,1172,94,05 MAR 2001,2,112482640,,chile/anais-hernandez-14733955,379141,,,,,Anais HERNÁNDEZ,Next best by World Rankings,CHI,,False,,
ChampionshipQualificationCompetitorQualification,1172,96,01 MAR 1999,6,112482642,,germany/sophia-junk-14593203,301008,,,,,Sophia JUNK,Next best by World Rankings,GER,,False,,
ChampionshipQualificationCompetitorQualification,1169,99,17 OCT 1994,13,112482645,,jamaica/christania-williams-14413656,262318,,,,,Christania WILLIAMS,Next best by World Rankings,JAM,,False,,
ChampionshipQualificationCompetitorQualification,1168,100,07 NOV 2000,14,112482646,,jamaica/ashanti-moore-14630579,298021,,,,,Ashanti MOORE,Next best by World Rankings,JAM,,False,,
ChampionshipQualificationCompetitorQualification,1168,101,17 OCT 1997,34,112482647,,united-states/jada-mowatt-14596937,319153,,,,,Jada MOWATT,Next best by World Rankings,USA,,False,,
ChampionshipQualificationCompetitorQualification,1168,102,2002,35,112482648,,united-states/alicia-burnett-14716762,303147,,,,,Alicia BURNETT,Next best by World Rankings,USA,,False,,
ChampionshipQualificationCompetitorQualification,1167,103,31 MAY 2004,5,112482649,,great-britain-ni/joy-eze-14834447,384425,,,,,Joy EZE,Next best by World Rankings,GBR,,False,,
ChampionshipQualificationCompetitorQualification,1166,104,29 JAN 2008,4,112482650,,australia/leah-obrien-14921737,513065,,,,,Leah O'BRIEN,Next best by World Rankings,AUS,,False,,
ChampionshipQualificationCompetitorQualification,1166,105,17 SEP 2006,15,112482651,,jamaica/sabrina-dockery-14929107,521815,,,,,Sabrina DOCKERY,Next best by World Rankings,JAM,,False,,
ChampionshipQualificationCompetitorQualification,1165,107,02 FEB 2001,1,112482653,,ecuador/gabriela-anahi-suarez-14701514,314127,,,,,Gabriela Anahi SUAREZ,Next best by World Rankings,ECU,,False,,
ChampionshipQualificationCompetitorQualification,1165,108,08 NOV 1998,5,112482654,,australia/ebony-lane-14671089,381162,,,,,Ebony LANE,Next best by World Rankings,AUS,,False,,
ChampionshipQualificationCompetitorQualification,1163,109,19 MAY 1995,36,112482655,,united-states/deajah-stevens-014378231,267572,,,,,Deajah STEVENS,Next best by World Rankings,USA,,False,,
ChampionshipQualificationCompetitorQualification,1161,110,28 DEC 2005,1,112482656,,dominican-republic/liranyi-alonso-15040816,,,,,,Liranyi ALONSO,Next best by World Rankings,DOM,,False,,
ChampionshipQualificationCompetitorQualification,1161,111,29 NOV 2000,6,112482657,,australia/chloe-mannix-power-14669328,309098,,,,,Chloe MANNIX-POWER,Next best by World Rankings,AUS,,False,,
ChampionshipQualificationCompetitorQualification,1161,112,26 JUN 2004,16,112482658,,jamaica/serena-cole-14776901,344870,,,,,Serena COLE,Next best by World Rankings,JAM,,False,,
ChampionshipQualificationCompetitorQualification,1161,113,09 JUN 2006,4,112482659,,nigeria/kelly-ufodiama-15093814,,,,,,Kelly UFODIAMA,Next best by World Rankings,NGR,,False,,
ChampionshipQualificationCompetitorQualification,1160,114,17 DEC 1997,6,112482660,,great-britain-ni/imani-lansiquot-14506362,285265,,,,,Imani LANSIQUOT,Next best by World Rankings,GBR,,False,,
ChampionshipQualificationCompetitorQualification,1159,116,09 JAN 2008,4,112482662,,switzerland/xenia-buri-14987735,,,,,,Xenia BURI,Next best by World Rankings,SUI,,False,,
ChampionshipQualificationCompetitorQualification,1158,117,01 APR 1998,1,112482663,,finland/lotta-kemppinen-14503884,300572,,,,,Lotta KEMPPINEN,Next best by World Rankings,FIN,,False,,
ChampionshipQualificationCompetitorQualification,1158,118,28 OCT 2002,5,112482664,,nigeria/olayinka-olajide-14970477,534043,,,,,Olayinka OLAJIDE,Next best by World Rankings,NGR,,False,,
ChampionshipQualificationCompetitorQualification,1157,119,05 OCT 1996,1,112482665,,dem-rep-of-sao-tome-and-principe/gorete-semedo-14628106,321787,,,,,Gorete SEMEDO,Next best by World Rankings,STP,,False,,
ChampionshipQualificationCompetitorQualification,1157,120,27 OCT 1996,7,112482666,,germany/lisa-marie-kwayie-14454037,284690,,,,,Lisa Marie KWAYIE,Next best by World Rankings,GER,,False,,
ChampionshipQualificationCompetitorQualification,1156,121,19 JAN 2008,2,112482667,,trinidad-and-tobago/lisa-raye-15077774,,,,,,Lisa RAYE,Next best by World Rankings,TTO,,False,,
ChampionshipQualificationCompetitorQualification,1155,123,21 SEP 2000,2,112482669,,poland/magdalena-stefanowicz-14647937,300761,,,,,Magdalena STEFANOWICZ,Next best by World Rankings,POL,,False,,
ChampionshipQualificationCompetitorQualification,1155,124,18 APR 2001,7,112482670,,australia/mia-gross-14671065,306363,,,,,Mia GROSS,Next best by World Rankings,AUS,,False,,
ChampionshipQualificationCompetitorQualification,1155,125,24 FEB 2000,8,112482671,,australia/kristie-edwards-14575462,287650,,,,,Kristie EDWARDS,Next best by World Rankings,AUS,,False,,
ChampionshipQualificationCompetitorQualification,1155,126,02 JUN 1999,1,112482672,,madagascar/claudine-njarasoa-14916210,506082,,,,,Claudine NJARASOA,Next best by World Rankings,MAD,,False,,
ChampionshipQualificationCompetitorQualification,1155,127,03 MAR 1992,2,112482673,,italy/gloria-hooper-14381808,257459,,,,,Gloria HOOPER,Next best by World Rankings,ITA,,False,,
