eventGroup,averagePerformanceScore,country,countryFullName,__typename,male,place,withDrop,athleteUrlSlug,rankingScore,withMonthCorrection,withWorldRecord,withWind,rankDate,birthDate,athlete
Women's 100m (50m-55m-60m),1174,BOT,Botswana,RankingScoreCalculation,False,89,False,botswana/tsaone-bakani-sebele-14541122,1174,False,False,True,24 AUG 2025,27 OCT 1993,Tsaone Bakani SEBELE
Women's 100m (50m-55m-60m),1174,JAM,Jamaica,RankingScoreCalculation,False,90,False,jamaica/kemba-nelson-14576790,1174,False,False,True,24 AUG 2025,23 FEB 2000,Kemba NELSON
Women's 100m (50m-55m-60m),1174,USA,United States,RankingScoreCalculation,False,91,False,united-states/lex-brown-14747974,1174,False,False,True,24 AUG 2025,26 APR 2001,Lex BROWN
Women's 100m (50m-55m-60m),1172,CHI,Chile,RankingScoreCalculation,False,94,False,chile/anais-hernandez-14733955,1172,False,False,True,24 AUG 2025,05 MAR 2001,Anais HERNÁNDEZ
Women's 100m (50m-55m-60m),1172,GER,Germany,RankingScoreCalculation,False,96,False,germany/sophia-junk-14593203,1172,False,False,True,24 AUG 2025,01 MAR 1999,Sophia JUNK
Women's 100m (50m-55m-60m),1169,JAM,Jamaica,RankingScoreCalculation,False,99,False,jamaica/christania-williams-14413656,1169,False,False,True,24 AUG 2025,17 OCT 1994,Christania WILLIAMS
Women's 100m (50m-55m-60m),1168,JAM,Jamaica,RankingScoreCalculation,False,100,False,jamaica/ashanti-moore-14630579,1168,False,False,True,24 AUG 2025,07 NOV 2000,Ashanti MOORE
Women's 100m (50m-55m-60m),1168,USA,United States,RankingScoreCalculation,False,101,False,united-states/jada-mowatt-14596937,1168,False,False,True,24 AUG 2025,17 OCT 1997,Jada MOWATT
Women's 100m (50m-55m-60m),1168,USA,United States,RankingScoreCalculation,False,102,False,united-states/alicia-burnett-14716762,1168,False,False,True,24 AUG 2025,2002,Alicia BURNETT
Women's 100m (50m-55m-60m),1167,GBR,Great Britain & N.I.,RankingScoreCalculation,False,103,False,great-britain-ni/joy-eze-14834447,1167,False,False,True,24 AUG 2025,31 MAY 2004,Joy EZE
Women's 100m (50m-55m-60m),1166,AUS,Australia,RankingScoreCalculation,False,104,False,australia/leah-obrien-14921737,1166,False,False,True,24 AUG 2025,29 JAN 2008,Leah O'BRIEN
Women's 100m (50m-55m-60m),1166,JAM,Jamaica,RankingScoreCalculation,False,105,False,jamaica/sabrina-dockery-14929107,1166,False,False,True,24 AUG 2025,17 SEP 2006,Sabrina DOCKERY
Women's 100m (50m-55m-60m),1165,ECU,Ecuador,RankingScoreCalculation,False,107,False,ecuador/gabriela-anahi-suarez-14701514,1165,False,False,True,24 AUG 2025,02 FEB 2001,Gabriela Anahi SUAREZ
Women's 100m (50m-55m-60m),1165,AUS,Australia,RankingScoreCalculation,False,108,False,australia/ebony-lane-14671089,1165,False,False,True,24 AUG 2025,08 NOV 1998,Ebony LANE
Women's 100m (50m-55m-60m),1163,USA,United States,RankingScoreCalculation,False,109,False,united-states/deajah-stevens-014378231,1163,False,False,True,24 AUG 2025,19 MAY 1995,Deajah STEVENS
Women's 100m (50m-55m-60m),1161,DOM,Dominican Republic,RankingScoreCalculation,False,110,False,dominican-republic/liranyi-alonso-15040816,1161,False,False,True,24 AUG 2025,28 DEC 2005,Liranyi ALONSO
Women's 100m (50m-55m-60m),1161,AUS,Australia,RankingScoreCalculation,False,111,False,australia/chloe-mannix-power-14669328,1161,False,False,True,24 AUG 2025,29 NOV 2000,Chloe MANNIX-POWER
Women's 100m (50m-55m-60m),1161,JAM,Jamaica,RankingScoreCalculation,False,112,False,jamaica/serena-cole-14776901,1161,False,False,True,24 AUG 2025,26 JUN 2004,Serena COLE
Women's 100m (50m-55m-60m),1161,NGR,Nigeria,RankingScoreCalculation,False,113,False,nigeria/kelly-ufodiama-15093814,1161,False,False,True,24 AUG 2025,09 JUN 2006,Kelly UFODIAMA
Women's 100m (50m-55m-60m),1160,GBR,Great Britain & N.I.,RankingScoreCalculation,False,114,False,great-britain-ni/imani-lansiquot-14506362,1160,False,False,True,24 AUG 2025,17 DEC 1997,Imani LANSIQUOT
Women's 100m (50m-55m-60m),1159,SUI,Switzerland,RankingScoreCalculation,False,116,False,switzerland/xenia-buri-14987735,1159,False,False,True,24 AUG 2025,09 JAN 2008,Xenia BURI
Women's 100m (50m-55m-60m),1158,FIN,Finland,RankingScoreCalculation,False,117,False,finland/lotta-kemppinen-14503884,1158,False,False,True,24 AUG 2025,01 APR 1998,Lotta KEMPPINEN
Women's 100m (50m-55m-60m),1158,NGR,Nigeria,RankingScoreCalculation,False,118,False,nigeria/olayinka-olajide-14970477,1158,False,False,True,24 AUG 2025,28 OCT 2002,Olayinka OLAJIDE
Women's 100m (50m-55m-60m),1157,STP,Sao Tome & Principe,RankingScoreCalculation,False,119,False,dem-rep-of-sao-tome-and-principe/gorete-semedo-14628106,1157,False,False,True,24 AUG 2025,05 OCT 1996,Gorete SEMEDO
Women's 100m (50m-55m-60m),1157,GER,Germany,RankingScoreCalculation,False,120,False,germany/lisa-marie-kwayie-14454037,1157,False,False,True,24 AUG 2025,27 OCT 1996,Lisa Marie KWAYIE
Women's 100m (50m-55m-60m),1156,TTO,Trinidad and Tobago,RankingScoreCalculation,False,121,False,trinidad-and-tobago/lisa-raye-15077774,1156,False,False,True,24 AUG 2025,19 JAN 2008,Lisa RAYE
Women's 100m (50m-55m-60m),1155,POL,Poland,RankingScoreCalculation,False,123,False,poland/magdalena-stefanowicz-14647937,1155,False,False,True,24 AUG 2025,21 SEP 2000,Magdalena STEFANOWICZ
Women's 100m (50m-55m-60m),1155,AUS,Australia,RankingScoreCalculation,False,124,False,australia/mia-gross-14671065,1155,False,False,True,24 AUG 2025,18 APR 2001,Mia GROSS
Women's 100m (50m-55m-60m),1155,AUS,Australia,RankingScoreCalculation,False,125,False,australia/kristie-edwards-14575462,1155,False,False,True,24 AUG 2025,24 FEB 2000,Kristie EDWARDS
Women's 100m (50m-55m-60m),1155,MAD,Madagascar,RankingScoreCalculation,False,126,False,madagascar/claudine-njarasoa-14916210,1155,False,False,True,24 AUG 2025,02 JUN 1999,Claudine NJARASOA
Women's 100m (50m-55m-60m),1155,ITA,Italy,RankingScoreCalculation,False,127,False,italy/gloria-hooper-14381808,1155,False,False,True,24 AUG 2025,03 MAR 1992,Gloria HOOPER
Women's 100m (50m-55m-60m),1154,NGR,Nigeria,RankingScoreCalculation,False,128,False,nigeria/success-umukoro-14886278,1154,False,False,True,24 AUG 2025,09 JAN 2001,Success UMUKORO
Women's 100m (50m-55m-60m),1154,USA,United States,RankingScoreCalculation,False,129,False,united-states/iyana-gray-14836591,1154,False,False,True,24 AUG 2025,27 FEB 2003,Iyana GRAY
Women's 100m (50m-55m-60m),1153,EGY,Egypt,RankingScoreCalculation,False,130,False,egypt/bassant-hemida-14755412,1153,False,False,True,24 AUG 2025,28 SEP 1996,Bassant HEMIDA
Women's 100m (50m-55m-60m),1153,CAN,Canada,RankingScoreCalculation,False,131,False,canada/jacqueline-madogo-14804999,1153,False,False,True,24 AUG 2025,14 APR 2000,Jacqueline MADOGO
Women's 100m (50m-55m-60m),1153,USA,United States,RankingScoreCalculation,False,132,False,united-states/sedrickia-wynn-14808973,1153,False,False,True,24 AUG 2025,08 FEB 2000,Sedrickia WYNN
Women's 100m (50m-55m-60m),1152,FRA,France,RankingScoreCalculation,False,133,False,france/carolle-zahi-14477479,1152,False,False,True,24 AUG 2025,12 JUN 1994,Carolle ZAHI
Women's 100m (50m-55m-60m),1151,CUB,Cuba,RankingScoreCalculation,False,134,False,cuba/yunisleidy-garcia-abreu-14636498,1151,False,False,True,24 AUG 2025,11 AUG 1999,Yunisleidy GARCÍA ABREU
Women's 100m (50m-55m-60m),1151,GAM,The Gambia,RankingScoreCalculation,False,135,False,the-gambia/maimuna-jallow-14988414,1151,False,False,True,24 AUG 2025,2005,Maimuna JALLOW
Women's 100m (50m-55m-60m),1151,USA,United States,RankingScoreCalculation,False,136,False,united-states/sharmelle-holmes-14994015,1151,False,False,True,24 AUG 2025,18 MAY 2006,Sharmelle HOLMES
Women's 100m (50m-55m-60m),1149,USA,United States,RankingScoreCalculation,False,137,False,united-states/caisja-chandler-14731976,1149,False,False,True,24 AUG 2025,18 JUN 2000,Caisja CHANDLER
Women's 100m (50m-55m-60m),1149,JPN,Japan,RankingScoreCalculation,False,138,False,japan/manaka-miura-14860611,1149,False,False,True,24 AUG 2025,14 FEB 2002,Manaka MIURA
Women's 100m (50m-55m-60m),1149,GBR,Great Britain & N.I.,RankingScoreCalculation,False,140,False,great-britain-ni/renee-regis-14853272,1149,False,False,True,24 AUG 2025,02 SEP 2005,Renee REGIS
Women's 100m (50m-55m-60m),1148,GRE,Greece,RankingScoreCalculation,False,141,False,greece/rafailia-spanoudaki-chatziriga-14686534,1148,False,False,True,24 AUG 2025,07 JUN 1994,Rafailia SPANOUDAKI-CHATZIRIGA
Women's 100m (50m-55m-60m),1147,SUI,Switzerland,RankingScoreCalculation,False,142,False,switzerland/emma-van-camp-14827930,1147,False,False,True,24 AUG 2025,11 OCT 2004,Emma VAN CAMP
Women's 100m (50m-55m-60m),1147,BAR,Barbados,RankingScoreCalculation,False,143,False,barbados/kishawna-niles-14847514,1147,False,False,True,24 AUG 2025,16 AUG 2005,Kishawna NILES
Women's 100m (50m-55m-60m),1147,GAB,Gabon,RankingScoreCalculation,False,144,False,gabon/pierrick-linda-moulin-14772742,1147,False,False,True,24 AUG 2025,12 FEB 2001,Pierrick-linda MOULIN
Women's 100m (50m-55m-60m),1146,ITA,Italy,RankingScoreCalculation,False,145,False,italy/kelly-ann-maevane-doualla-edimo-15022410,1146,False,False,True,24 AUG 2025,20 NOV 2009,Kelly Ann Maevane DOUALLA EDIMO
Women's 100m (50m-55m-60m),1145,USA,United States,RankingScoreCalculation,False,147,False,united-states/kailei-collins-014715729,1145,False,False,True,24 AUG 2025,11 JUL 2001,Kailei COLLINS
Women's 100m (50m-55m-60m),1143,EST,Estonia,RankingScoreCalculation,False,148,False,estonia/ann-marii-kivikas-14735066,1143,False,False,True,24 AUG 2025,12 AUG 2002,Ann Marii KIVIKAS
Women's 100m (50m-55m-60m),1143,JAM,Jamaica,RankingScoreCalculation,False,149,False,jamaica/carleta-bernard-14836149,1143,False,False,True,24 AUG 2025,08 NOV 2004,Carleta BERNARD
Women's 100m (50m-55m-60m),1142,NGR,Nigeria,RankingScoreCalculation,False,150,False,nigeria/adijatu-rejoice-sule-14970473,1142,False,False,True,24 AUG 2025,07 OCT 2004,Adijatu Rejoice SULE
Women's 100m (50m-55m-60m),1140,RSA,South Africa,RankingScoreCalculation,False,152,False,south-africa/viwe-jingqi-14932728,1140,False,False,True,24 AUG 2025,17 FEB 2005,Viwe JINGQI
Women's 100m (50m-55m-60m),1140,BOT,Botswana,RankingScoreCalculation,False,153,False,botswana/murangi-refilwe-14721117,1140,False,False,True,24 AUG 2025,28 DEC 1999,Murangi REFILWE
Women's 100m (50m-55m-60m),1140,GBR,Great Britain & N.I.,RankingScoreCalculation,False,154,False,great-britain-ni/desiree-henry-14360349,1140,False,False,True,24 AUG 2025,26 AUG 1995,Desiree HENRY
Women's 100m (50m-55m-60m),1140,GBR,Great Britain & N.I.,RankingScoreCalculation,False,155,False,great-britain-ni/aleeya-sibbons-14714965,1140,False,False,True,24 AUG 2025,05 NOV 2002,Aleeya SIBBONS
Women's 100m (50m-55m-60m),1140,USA,United States,RankingScoreCalculation,False,156,False,united-states/shannon-ray-14490383,1140,False,False,True,24 AUG 2025,23 DEC 1995,Shannon RAY
Women's 100m (50m-55m-60m),1140,USA,United States,RankingScoreCalculation,False,157,False,united-states/reign-redmond-14981133,1140,False,False,True,24 AUG 2025,19 SEP 2005,Reign REDMOND
Women's 100m (50m-55m-60m),1139,JAM,Jamaica,RankingScoreCalculation,False,158,False,jamaica/krystal-sloley-14686396,1139,False,False,True,24 AUG 2025,24 APR 2002,Krystal SLOLEY
Women's 100m (50m-55m-60m),1139,USA,United States,RankingScoreCalculation,False,159,False,united-states/tamara-clark-14596381,1139,False,False,True,24 AUG 2025,09 JAN 1999,Tamara CLARK
Women's 100m (50m-55m-60m),1138,CHN,PR of China,RankingScoreCalculation,False,160,False,pr-of-china/manqi-ge-14576460,1138,False,False,True,24 AUG 2025,13 OCT 1997,Manqi GE
Women's 100m (50m-55m-60m),1138,TTO,Trinidad and Tobago,RankingScoreCalculation,False,161,False,trinidad-and-tobago/michelle-lee-ahye-14302966,1138,False,False,True,24 AUG 2025,10 APR 1992,Michelle-Lee AHYE
Women's 100m (50m-55m-60m),1137,COL,Colombia,RankingScoreCalculation,False,162,False,colombia/angelica-maria-gamboa-14587314,1137,False,False,True,24 AUG 2025,06 APR 1998,Angelica Maria GAMBOA
Women's 100m (50m-55m-60m),1137,USA,United States,RankingScoreCalculation,False,163,False,united-states/joyasia-smith-15056298,1137,False,False,True,24 AUG 2025,04 AUG 2004,Joyasia SMITH
Women's 100m (50m-55m-60m),1137,GBR,Great Britain & N.I.,RankingScoreCalculation,False,164,False,great-britain-ni/nia-wedderburn-goodison-14781167,1137,False,False,True,24 AUG 2025,09 JAN 2005,Nia WEDDERBURN-GOODISON
Women's 100m (50m-55m-60m),1137,SWE,Sweden,RankingScoreCalculation,False,165,False,sweden/nora-lindahl-14835523,1137,False,False,True,24 AUG 2025,10 SEP 2004,Nora LINDAHL
Women's 100m (50m-55m-60m),1137,USA,United States,RankingScoreCalculation,False,166,False,united-states/chante-clinkscale-14937077,1137,False,False,True,24 AUG 2025,2003,Chante CLINKSCALE
Women's 100m (50m-55m-60m),1135,USA,United States,RankingScoreCalculation,False,167,False,united-states/kortnei-johnson-14519052,1135,False,False,True,24 AUG 2025,11 AUG 1997,Kortnei JOHNSON
Women's 100m (50m-55m-60m),1135,IVB,British Virgin Islands,RankingScoreCalculation,False,168,False,british-virgin-islands/beyonce-defreitas-14695519,1135,False,False,True,24 AUG 2025,09 MAR 2001,Beyonce DEFREITAS
Women's 100m (50m-55m-60m),1135,USA,United States,RankingScoreCalculation,False,169,False,united-states/lauren-jarrett-15037335,1135,False,False,True,24 AUG 2025,01 SEP 2004,Lauren JARRETT
Women's 100m (50m-55m-60m),1134,RSA,South Africa,RankingScoreCalculation,False,170,False,south-africa/joviale-mbisha-14748118,1134,False,False,True,24 AUG 2025,31 OCT 2000,Joviale MBISHA
Women's 100m (50m-55m-60m),1134,AUS,Australia,RankingScoreCalculation,False,171,False,australia/sam-geddes-14445620,1134,False,False,True,24 AUG 2025,04 JUN 1997,Sam GEDDES
Women's 100m (50m-55m-60m),1134,JAM,Jamaica,RankingScoreCalculation,False,172,False,jamaica/shanoya-mikalia-douglas-15063835,1134,False,False,True,24 AUG 2025,11 SEP 2007,Shanoya Mikalia DOUGLAS
Women's 100m (50m-55m-60m),1134,POR,Portugal,RankingScoreCalculation,False,173,False,portugal/arialis-gandulla-14465496,1134,False,False,True,24 AUG 2025,22 JUN 1995,Arialis GANDULLA
Women's 100m (50m-55m-60m),1133,SVK,Slovak Republic,RankingScoreCalculation,False,175,False,slovak-republic/delia-farajpour-14849786,1133,False,False,True,24 AUG 2025,19 APR 2004,Delia FARAJPOUR
Women's 100m (50m-55m-60m),1133,JPN,Japan,RankingScoreCalculation,False,176,False,japan/midori-mikase-14806541,1133,False,False,True,24 AUG 2025,02 JUN 2001,Midori MIKASE
Women's 100m (50m-55m-60m),1133,USA,United States,RankingScoreCalculation,False,177,False,united-states/iasia-wilson-014777709,1133,False,False,True,24 AUG 2025,2003,I'Asia WILSON
Women's 100m (50m-55m-60m),1133,USA,United States,RankingScoreCalculation,False,178,False,united-states/kiley-robbins-14903402,1133,False,False,True,24 AUG 2025,31 JUL 2002,Kiley ROBBINS
Women's 100m (50m-55m-60m),1132,PUR,Puerto Rico,RankingScoreCalculation,False,180,False,puerto-rico/frances-colon-14885598,1132,False,False,True,24 AUG 2025,16 MAR 2006,Frances COLON
Women's 100m (50m-55m-60m),1132,AUS,Australia,RankingScoreCalculation,False,181,False,australia/georgia-harris-14670290,1132,False,False,True,24 AUG 2025,10 JUN 2004,Georgia HARRIS
Women's 100m (50m-55m-60m),1132,RSA,South Africa,RankingScoreCalculation,False,182,False,south-africa/tamzin-thomas-14544892,1132,False,False,True,24 AUG 2025,06 OCT 1997,Tamzin THOMAS
Women's 100m (50m-55m-60m),1132,FRA,France,RankingScoreCalculation,False,183,False,france/sarah-richard-14627382,1132,False,False,True,24 AUG 2025,02 APR 1998,Sarah RICHARD
Women's 100m (50m-55m-60m),1132,BRA,Brazil,RankingScoreCalculation,False,184,False,brazil/gabriela-mourao-14662604,1132,False,False,True,24 AUG 2025,03 JUN 1999,Gabriela MOURÃO
Women's 100m (50m-55m-60m),1131,AUS,Australia,RankingScoreCalculation,False,185,False,australia/taylah-cruttenden-14730127,1131,False,False,True,24 AUG 2025,19 OCT 2003,Taylah CRUTTENDEN
Women's 100m (50m-55m-60m),1131,AUT,Austria,RankingScoreCalculation,False,186,False,austria/magdalena-lindner-14544320,1131,False,False,True,24 AUG 2025,14 APR 2000,Magdalena LINDNER
Women's 100m (50m-55m-60m),1131,GBR,Great Britain & N.I.,RankingScoreCalculation,False,187,False,great-britain-ni/faith-akinbileje-14937030,1131,False,False,True,24 AUG 2025,21 SEP 2005,Faith AKINBILEJE
Women's 100m (50m-55m-60m),1131,USA,United States,RankingScoreCalculation,False,188,False,united-states/milian-fields-14892021,1131,False,False,True,24 AUG 2025,2002,Milian FIELDS
Women's 100m (50m-55m-60m),1131,NGR,Nigeria,RankingScoreCalculation,False,190,False,nigeria/moforehan-abinusawa-14716801,1131,False,False,True,24 AUG 2025,03 OCT 2003,Moforehan ABINUSAWA
Women's 100m (50m-55m-60m),1131,ESP,Spain,RankingScoreCalculation,False,191,False,spain/elena-guiu-14823070,1131,False,False,True,24 AUG 2025,16 JUN 2004,Elena GUIU
Women's 100m (50m-55m-60m),1130,USA,United States,RankingScoreCalculation,False,192,False,united-states/kiyah-yeast-14716772,1130,False,False,True,24 AUG 2025,09 APR 2002,Kiyah YEAST
Women's 100m (50m-55m-60m),1130,CYP,Cyprus,RankingScoreCalculation,False,193,False,cyprus/olivia-fotopoulou-14595920,1130,False,False,True,24 AUG 2025,20 DEC 1996,Olivia FOTOPOULOU
Women's 100m (50m-55m-60m),1130,USA,United States,RankingScoreCalculation,False,195,False,united-states/asia-thomas-14913817,1130,False,False,True,24 AUG 2025,2005,Asia THOMAS
Women's 100m (50m-55m-60m),1130,BEL,Belgium,RankingScoreCalculation,False,196,False,belgium/janie-de-naeyer-14681306,1130,False,False,True,24 AUG 2025,17 AUG 2001,Janie DE NAEYER
Women's 100m (50m-55m-60m),1129,CAN,Canada,RankingScoreCalculation,False,197,False,canada/emily-martin-14876636,1129,False,False,True,24 AUG 2025,30 MAY 2004,Emily MARTIN
Women's 100m (50m-55m-60m),1129,NED,Netherlands,RankingScoreCalculation,False,198,False,netherlands/marije-van-hunenstijn-14451250,1129,False,False,True,24 AUG 2025,02 MAR 1995,Marije VAN HUNENSTIJN
Women's 100m (50m-55m-60m),1129,CHN,PR of China,RankingScoreCalculation,False,199,False,pr-of-china/yujie-chen-15138450,1129,False,False,True,24 AUG 2025,29 DEC 2008,Yujie CHEN
Women's 100m (50m-55m-60m),1129,EST,Estonia,RankingScoreCalculation,False,200,False,estonia/oilme-voro-14448393,1129,False,False,True,24 AUG 2025,02 JAN 1996,Õilme VÕRO
Women's 100m (50m-55m-60m),1129,TTO,Trinidad and Tobago,RankingScoreCalculation,False,201,False,trinidad-and-tobago/reese-webster-14832820,1129,False,False,True,24 AUG 2025,21 MAY 2002,Reese WEBSTER
Women's 100m (50m-55m-60m),1128,SLO,Slovenia,RankingScoreCalculation,False,202,False,slovenia/maja-mihalinec-zidar-14300190,1128,False,False,True,24 AUG 2025,17 DEC 1989,Maja MIHALINEC ZIDAR
Women's 100m (50m-55m-60m),1128,CGO,Congo,RankingScoreCalculation,False,203,False,congo/natacha-ngoye-14429097,1128,False,False,True,24 AUG 2025,15 AUG 1993,Natacha NGOYE
